dataset_description,dataset_issued,dataset_modified,dataset_title,download_url,end_date,file_description,file_issued,file_modified,file_title,format,info_url,licence,publisher,source,start_date
"Between 1788 and 1842 about 80,000 convicts were transported to New South Wales. Of these, about 85% were men and 15% were women. Almost two thirds of convicts were English (along with a small number of Scottish and Welsh), with the Irish making up the remaining one third.

Convicts were usually given sentences of transportation for seven, 14 years or life. Some convicts in the 1830s received ten-year sentences. About one quarter of the convicts were sentenced to ‘the term of their natural lives’, and a proportion of these had reprieves from the death sentence.

These seven indexes contain around 140,000 entries in total.",2015-10-01T01:54:53Z,2015-10-01T02:14:59Z,Convict Indexes,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/07fb0a86-e7d6-4023-9033-c6ec50b077d5/download/certificates-of-freedom-1823-69.csv,,"This dataset contains the following attributes: 
ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-certificates-of-freedom).",2015-10-01T11:59:46Z,,"Index to Certificates of Freedom, 1823-69",CSV,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Between 1788 and 1842 about 80,000 convicts were transported to New South Wales. Of these, about 85% were men and 15% were women. Almost two thirds of convicts were English (along with a small number of Scottish and Welsh), with the Irish making up the remaining one third.

Convicts were usually given sentences of transportation for seven, 14 years or life. Some convicts in the 1830s received ten-year sentences. About one quarter of the convicts were sentenced to ‘the term of their natural lives’, and a proportion of these had reprieves from the death sentence.

These seven indexes contain around 140,000 entries in total.",2015-10-01T01:54:53Z,2015-10-01T02:14:59Z,Convict Indexes,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/c3d46577-7ede-4ed0-96cb-9877af4727a2/download/pardons-1791-1825-and-1837-47.csv,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-convict-pardons).",2015-10-01T12:02:20Z,,"Index to convict pardons, 1791-1825 and 1837-47",CSV,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Between 1788 and 1842 about 80,000 convicts were transported to New South Wales. Of these, about 85% were men and 15% were women. Almost two thirds of convicts were English (along with a small number of Scottish and Welsh), with the Irish making up the remaining one third.

Convicts were usually given sentences of transportation for seven, 14 years or life. Some convicts in the 1830s received ten-year sentences. About one quarter of the convicts were sentenced to ‘the term of their natural lives’, and a proportion of these had reprieves from the death sentence.

These seven indexes contain around 140,000 entries in total.",2015-10-01T01:54:53Z,2015-10-01T02:14:59Z,Convict Indexes,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/bd235c5d-0690-441f-ad62-a5fa4eaa3761/download/tickets-of-exemption-from-govt-labor-1827-32.csv,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/tickets-of-exemption-from-government-labour).",2015-10-01T12:05:30Z,,"Index to Tickets of Exemption from Government Labour, 1827-32",CSV,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Between 1788 and 1842 about 80,000 convicts were transported to New South Wales. Of these, about 85% were men and 15% were women. Almost two thirds of convicts were English (along with a small number of Scottish and Welsh), with the Irish making up the remaining one third.

Convicts were usually given sentences of transportation for seven, 14 years or life. Some convicts in the 1830s received ten-year sentences. About one quarter of the convicts were sentenced to ‘the term of their natural lives’, and a proportion of these had reprieves from the death sentence.

These seven indexes contain around 140,000 entries in total.",2015-10-01T01:54:53Z,2015-10-01T02:14:59Z,Convict Indexes,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/386608d7-a103-4440-adb7-adae2f8928db/download/tickets-of-leave-1810-75.csv,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-tickets-of-leave).",2015-10-01T12:11:25Z,,"Index to Tickets of Leave, 1810-75",CSV,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Between 1788 and 1842 about 80,000 convicts were transported to New South Wales. Of these, about 85% were men and 15% were women. Almost two thirds of convicts were English (along with a small number of Scottish and Welsh), with the Irish making up the remaining one third.

Convicts were usually given sentences of transportation for seven, 14 years or life. Some convicts in the 1830s received ten-year sentences. About one quarter of the convicts were sentenced to ‘the term of their natural lives’, and a proportion of these had reprieves from the death sentence.

These seven indexes contain around 140,000 entries in total.",2015-10-01T01:54:53Z,2015-10-01T02:14:59Z,Convict Indexes,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/82b8128f-b0cf-44ef-b6c5-f4762688b000/download/tickets-of-leave-certificates-of-emancipation-pardons-1810-19.csv,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-tickets-of-leave-certificates-and-pardons).",2015-10-01T12:13:36Z,,"Index to Tickets of Leave, Certificates of Emancipation, and Pardons, 1810-19",CSV,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Between 1788 and 1842 about 80,000 convicts were transported to New South Wales. Of these, about 85% were men and 15% were women. Almost two thirds of convicts were English (along with a small number of Scottish and Welsh), with the Irish making up the remaining one third.

Convicts were usually given sentences of transportation for seven, 14 years or life. Some convicts in the 1830s received ten-year sentences. About one quarter of the convicts were sentenced to ‘the term of their natural lives’, and a proportion of these had reprieves from the death sentence.

These seven indexes contain around 140,000 entries in total.",2015-10-01T01:54:53Z,2015-10-01T02:14:59Z,Convict Indexes,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/128a859e-120f-43e2-8f9f-9aadc05b8745/download/tickets-of-leave-passports-1835-69.csv,,"This dataset contains the following attributes: ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-ticket-of-leave-passports).",2015-10-01T12:14:59Z,,"Index to Tickets of Leave Passports, 1835-69",CSV,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Name search for railway employees who formed the 1st Railway Section of the Australian Imperial Expeditionary Force, also known as the 6th Australian Broad Gauge Railway Operating Company. This index contains 435 entries and was compiled from one record series by the [State Records NSW Volunteer program](http://www.records.nsw.gov.au/about-us/volunteers/volunteers).

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/professions-and-occupations/railway-employees-1/nominal-roll-aif).",2014-09-30T04:50:13Z,2016-07-20T12:15:14Z,"Nominal Roll of the First Railway Section (AIF), 1917-20",http://data.nsw.gov.au/data/storage/f/2014-09-30T04%3A50%3A17.994Z/nominal-roll-of-the-first-railway-section-aif.csv,,"This dataset contains the following attributes: Surname, Other Names, Age, Address, Date of Joining, Series, Reel, Page, ID",2014-09-30T00:51:03Z,,Nominal Roll of the First Railway Section (AIF).csv,CSV,https://data.nsw.gov.au/data/dataset/7e8b1833-4edc-483f-b38c-816e87a60149,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"A repository of information published by NSW Government agencies, including Annual Reports and open access information released under the Government Information (Public Access) Act 2009 (GIPA Act).",2013-05-28T05:04:20Z,2015-02-03T06:33:14Z,OpenGov NSW API,https://www.opengov.nsw.gov.au/api,,"OpenGov NSW data and functionality are available via an open web API. This service provides additional options for agencies wishing to integrate OpenGov NSW with their own websites. It also means that external developers, and members of the public more broadly, can easily extract and use OpenGov NSW data. For more information, visit: [https://www.opengov.nsw.gov.au/api](https://www.opengov.nsw.gov.au/api)",2013-05-28T01:05:30Z,,OpenGov NSW API,API,https://data.nsw.gov.au/data/dataset/e2c36616-36db-4bb3-a907-87db836481f0,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"View, download and reuse photographs from the collections of the NSW State Records Authority.",2013-05-24T01:41:34Z,2015-10-01T01:49:21Z,Flickr Photostream,https://www.flickr.com/photos/state-records-nsw/,,,2014-08-11T23:23:44Z,,Flickr Photostream,HTML,https://data.nsw.gov.au/data/dataset/32f00807-077b-45f9-978b-df4f688b1b17,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Descriptions of Commonwealth Agencies responsible for creating archival records series held by the National Archives of Australia. Agencies are distinct and recognisable bodies that have responsibility for carrying out administrative functions. Agencies can be head, state or local offices of Commonwealth government departments, statutory authorities, courts, or tribunals.  

Each agency is identified by a control number e.g. –  
                CA 12 Prime Minister’s Department  
                CA 3167 Overseas Internees Investigation Board  

The Agency note provides information about the administrative history of the agency and provides context for creation of its records.

This data set consists of: 
Agency.xml = the administrative history of the Commonwealth Government - It contains information about Agencies. An Agency creates a series of records based on its functions as agency functions change over time, other agencies may perform these functions.",2013-05-12T11:26:21Z,2016-04-28T01:27:05Z,Commonwealth Agencies,https://data.gov.au/dataset/beaa25fc-0e22-4c17-afe1-8b3cb5cbcfcc/resource/09e16e04-f7b0-46bc-adbc-b675a8739f01/download/agency.xml,,,2016-04-28T11:12:55Z,2016-04-27T00:00Z,Agencies,XML,https://data.gov.au/data/dataset/beaa25fc-0e22-4c17-afe1-8b3cb5cbcfcc,Creative Commons Attribution 3.0 Australia,National Archives of Australia,data.gov.au,
"Descriptions of Commonwealth Agencies responsible for creating archival records series held by the National Archives of Australia. Agencies are distinct and recognisable bodies that have responsibility for carrying out administrative functions. Agencies can be head, state or local offices of Commonwealth government departments, statutory authorities, courts, or tribunals.  

Each agency is identified by a control number e.g. –  
                CA 12 Prime Minister’s Department  
                CA 3167 Overseas Internees Investigation Board  

The Agency note provides information about the administrative history of the agency and provides context for creation of its records.

This data set consists of: 
Agency.xml = the administrative history of the Commonwealth Government - It contains information about Agencies. An Agency creates a series of records based on its functions as agency functions change over time, other agencies may perform these functions.",2013-05-12T11:26:21Z,2016-04-28T01:27:05Z,Commonwealth Agencies,https://data.gov.au/dataset/beaa25fc-0e22-4c17-afe1-8b3cb5cbcfcc/resource/477f26a3-87fd-4af9-8074-30ba4ccd02de/download/agency.xsd,,,2016-04-28T11:15:46Z,2016-04-27T00:00Z,Agency Schema,XML,https://data.gov.au/data/dataset/beaa25fc-0e22-4c17-afe1-8b3cb5cbcfcc,Creative Commons Attribution 3.0 Australia,National Archives of Australia,data.gov.au,
"This dataset tells fascinating stories drawn from treasures of the National Archives collection - http://naa.gov.au/visit-us/exhibitions/memory-of-a-nation/interactive.aspx

The dataset includes a digitised version of every original item that has been put on display in the Archives’ permanent exhibition Memory of a Nation, from its launch in 2007 through to the present day. This includes an original musical score of Waltzing Matilda, a petition for Aboriginal land rights from the Larrakia people of Darwin, and Charles Kingsford Smith’s 1921 application for a pilot’s licence. 

The dataset covers around 500 record items (eg. a file, object or photograph in the NAA collection).

Examples of content - http://naa.gov.au/visit-us/exhibitions/memory-of-a-nation/index.aspx

Record Item data fields include 

•	Theme
•	Subtheme
•	Title
•	Keyword tags (names, places, government activities), 
•	Short description
•	Long description
•	More info
•	Year (of record)
•	Series number (note: a series is a group of records that has resulted from the same filing process), 
•	Control symbol and barcode (record item reference numbers)
•	Collection (i.e. the government agency or person that created the series)
•	Format (for example, photograph, letter, bound volume, plan, film, etc.)
•	File name for scanned images 
•	Number of images
•	Notes
•	Digitised and Folio / page number
",2014-07-11T04:31:06Z,2015-04-08T01:26:41Z,Memory of a Nation dataset,https://data.gov.au/dataset/423d5a71-e957-4f18-b648-bf8680f2d780/resource/82500554-d64c-4f6a-81ab-f648ba7f86ac/download/moangovhackdata.csv,2002-12-31T23:59:59.999Z,,2014-07-11T04:32:45Z,,Memory of a Nation csv,CSV,https://data.gov.au/data/dataset/423d5a71-e957-4f18-b648-bf8680f2d780,Creative Commons Attribution 3.0 Australia,National Archives of Australia,data.gov.au,1866-01-01T00:00Z
Documents from cases of bankruptcy and insolvency.,2017-07-13T23:40:52Z,2018-07-25T01:37:11Z,Bankruptcy (1821-1928),https://data.gov.au/dataset/b0627a17-6783-4c18-a83e-11aa7e22e50e/resource/1505870e-fce6-4fab-a0b6-9b29d3ff9ace/download/bankruptcy.csv,1928-01-01T00:00Z,,2017-07-14T09:41:38Z,2017-11-07T18:27:15Z,Bankruptcy - CSV,CSV,https://data.gov.au/data/dataset/b0627a17-6783-4c18-a83e-11aa7e22e50e,Creative Commons Attribution 2.5 Australia,Libraries Tasmania,data.gov.au,1821-01-01T00:00Z
Documents from cases of bankruptcy and insolvency.,2017-07-13T23:40:52Z,2018-07-25T01:37:11Z,Bankruptcy (1821-1928),https://data.gov.au/dataset/b0627a17-6783-4c18-a83e-11aa7e22e50e/resource/086bb1c3-4140-4319-a079-1112806d7691/download/bankruptcy.xml,1928-01-01T00:00Z,,2017-07-14T09:42:03Z,2017-11-07T18:27:21Z,Bankruptcy - XML,XML,https://data.gov.au/data/dataset/b0627a17-6783-4c18-a83e-11aa7e22e50e,Creative Commons Attribution 2.5 Australia,Libraries Tasmania,data.gov.au,1821-01-01T00:00Z
Documents from cases of bankruptcy and insolvency.,2017-07-13T23:40:52Z,2018-07-25T01:37:11Z,Bankruptcy (1821-1928),https://data.gov.au/dataset/b0627a17-6783-4c18-a83e-11aa7e22e50e/resource/b52db4c3-1c82-4dd4-876f-6b9dde3816b5/download/bankruptcy.json,1928-01-01T00:00Z,,2017-07-14T09:42:18Z,2017-11-07T18:27:25Z,Bankruptcy - JSON,JSON,https://data.gov.au/data/dataset/b0627a17-6783-4c18-a83e-11aa7e22e50e,Creative Commons Attribution 2.5 Australia,Libraries Tasmania,data.gov.au,1821-01-01T00:00Z
"Supreme Court. Minutes of proceedings in criminal cases
Data indexed by the Prosecution Project. Further information about the project can be found here https://prosecutionproject.griffith.edu.au",2017-07-14T01:07:40Z,2018-07-25T01:39:06Z,Court (1830-1845),https://data.gov.au/dataset/58a9a8d7-01e0-43df-9f91-06ccdae5c634/resource/de95c886-87f6-45ea-b3e4-c8eaf4eab50c/download/court.csv,1845-01-01T00:00Z,,2017-07-14T11:07:58Z,2017-11-07T18:27:29Z,Court - CSV,CSV,https://data.gov.au/data/dataset/58a9a8d7-01e0-43df-9f91-06ccdae5c634,Creative Commons Attribution 2.5 Australia,Libraries Tasmania,data.gov.au,1830-01-01T00:00Z
"Supreme Court. Minutes of proceedings in criminal cases
Data indexed by the Prosecution Project. Further information about the project can be found here https://prosecutionproject.griffith.edu.au",2017-07-14T01:07:40Z,2018-07-25T01:39:06Z,Court (1830-1845),https://data.gov.au/dataset/58a9a8d7-01e0-43df-9f91-06ccdae5c634/resource/a436d1fc-21ef-441d-9a1c-e290b3ac3762/download/court.xml,1845-01-01T00:00Z,,2017-07-14T11:13:13Z,2017-11-07T18:27:36Z,Court - XML,XML,https://data.gov.au/data/dataset/58a9a8d7-01e0-43df-9f91-06ccdae5c634,Creative Commons Attribution 2.5 Australia,Libraries Tasmania,data.gov.au,1830-01-01T00:00Z
"Supreme Court. Minutes of proceedings in criminal cases
Data indexed by the Prosecution Project. Further information about the project can be found here https://prosecutionproject.griffith.edu.au",2017-07-14T01:07:40Z,2018-07-25T01:39:06Z,Court (1830-1845),https://data.gov.au/dataset/58a9a8d7-01e0-43df-9f91-06ccdae5c634/resource/008db5ad-6b5f-4c09-b159-4c094a0ddcdf/download/court.json,1845-01-01T00:00Z,,2017-07-14T11:14:51Z,2017-11-07T18:27:40Z,Court - JSON,JSON,https://data.gov.au/data/dataset/58a9a8d7-01e0-43df-9f91-06ccdae5c634,Creative Commons Attribution 2.5 Australia,Libraries Tasmania,data.gov.au,1830-01-01T00:00Z
"The aim of the eHeritage project, over 2001 to 2012, was to accelerate the use of technology and innovation across the Tasmanian local history and heritage community to make their identity, collections and services more visible and known.  It enabled these organisations to digitise and web publish descriptions (and often images) of their collections and information resources.

The primary output was the eHeritage website http://eheritage.statelibrary.tas.gov.au/ at which 30 organisations regularly added descriptions and images.

The data was presented at the website under 4 key fields:

* Title
* Objects
* Subjects
* Institution

This is represented in the structure of the open data sets.

The website was archived in 2013.  

By then 26,317 rows of raw data had been created that describe items held in cultural collections across Tasmania.  Another 99,704 records were created that relate specifically to the location of gravesites across Tasmania along with transcriptions of the details recorded on tombstones at the sites and often an image as well.",2017-07-17T00:58:57Z,2018-07-25T02:05:04Z,eHeritage data,https://data.gov.au/dataset/824306c0-ace3-482f-9476-f7ce9abd89de/resource/b3fcb429-2ebe-493d-833b-138a8f2566f4/download/eheritage-data.csv,2012-01-01T00:00Z,,2017-07-17T10:59:47Z,2017-07-17T00:59:47Z,eHeritage Data (CSV),CSV,https://data.gov.au/data/dataset/824306c0-ace3-482f-9476-f7ce9abd89de,Creative Commons Attribution 2.5 Australia,Libraries Tasmania,data.gov.au,2001-01-01T00:00Z
