organisation,author,created,last_modified,package_title,file_title,date_from,date_to,description,licence,info,url
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T03:18:06.449746,2016-03-16T03:18:06.449746,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - B,,,"This open data file lists the names of assisted passengers, with surnames beginning B, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/d62c9618-18df-4a2a-8cf0-d14da3d6db0f/download/assisted-immigration-1848-1912-b.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T03:26:28.383687,2016-03-16T03:26:28.383687,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - C,,,"This open data file lists the names of assisted passengers, with surnames beginning C, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/1ce97754-691e-4261-b69b-97f8f2efeefe/download/assisted-immigration-1848-1912-c.csv
Housing and Public Works,info@archives.qld.gov.au,2013-03-05T23:30:57.308581,2013-03-05T23:30:57.308581,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - D,,,"This open data file lists the names of assisted passengers, with surnames beginning D, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/aa710ad1-42ce-413e-aa6a-6c87ac63ced6/download/assisted-immigration-1848-1912-d.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T03:29:25.157986,2016-03-16T03:29:25.157986,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - E,,,"This open data file lists the names of assisted passengers, with surnames beginning E, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/e897a3ff-41d7-4983-bdda-9d5941dcf291/download/assisted-immigration-1848-1912-e.csv
Housing and Public Works,info@archives.qld.gov.au,2013-03-05T23:30:57.308594,2013-03-05T23:30:57.308594,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - F,,,"This open data file lists the names of assisted passengers, with surnames beginning F, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/665cf029-b814-4d95-9aaf-06c760cfe73e/download/assisted-immigration-1848-1912-f.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T03:32:00.068553,2016-03-16T03:32:00.068553,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - G,,,"This open data file lists the names of assisted passengers, with surnames beginning G, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/ae9da27c-9fe7-499f-aba8-173b4c88db11/download/assisted-immigration-1848-1912-g.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T03:33:13.711306,2016-03-16T03:33:13.711306,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - H,,,"This open data file lists the names of assisted passengers, with surnames beginning H, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/3bdb84f0-52f9-4fbd-81fc-cc3a6faf6ae5/download/assisted-immigration-1848-1912-h.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T03:46:42.429582,2016-03-16T03:46:42.429582,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - I,,,"This open data file lists the names of assisted passengers, with surnames beginning I, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/ed03dbac-8349-47bd-ac4b-773018e1c3e5/download/assisted-immigration-1848-1912-i.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T03:47:57.334617,2016-03-16T03:47:57.334617,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - J,,,"This open data file lists the names of assisted passengers, with surnames beginning J, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/37d1b5d7-5b0a-40eb-bcab-70fd96525f8b/download/assisted-immigration-1848-1912-j.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T03:49:16.833831,2016-03-16T03:49:16.833831,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - K,,,"This open data file lists the names of assisted passengers, with surnames beginning K, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/ee2826ce-9f3e-4130-b213-6ca170a349aa/download/assisted-immigration-1848-1912-k.csv
Housing and Public Works,info@archives.qld.gov.au,2013-03-05T23:30:57.308606,2013-03-05T23:30:57.308606,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - L,,,"This open data file lists the names of assisted passengers, with surnames beginning L, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/3e9a7bbb-562a-4799-9863-f5868d64db61/download/assisted-immigration-1848-1912-l.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:02:23.091405,2016-03-16T04:02:23.091405,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - M,,,"This open data file lists the names of assisted passengers, with surnames beginning M, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/6aef8706-404c-4948-aff9-03a4eb41f276/download/assisted-immigration-1848-1912-m.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:03:37.695035,2016-03-16T04:03:37.695035,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - N,,,"This open data file lists the names of assisted passengers, with surnames beginning N, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/3da289b8-e3ca-4fb2-9a10-b1b1738ac75b/download/assisted-immigration-1848-1912-n.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:04:43.108235,2016-03-16T04:04:43.108235,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - O,,,"This open data file lists the names of assisted passengers, with surnames beginning O, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/f5b370e4-7cb7-4cd6-a148-c8084e3bae5e/download/assisted-immigration-1848-1912-o.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:05:56.390836,2016-03-16T04:05:56.390836,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - P,,,"This open data file lists the names of assisted passengers, with surnames beginning P, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/b165131c-7eea-4e38-9486-85508ebe7cf5/download/assisted-immigration-1848-1912-p.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:07:03.816670,2016-03-16T04:07:03.816670,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - Q,,,"This open data file lists the names of assisted passengers, with surnames beginning Q, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/1cc5df5d-7f2d-4f23-9840-da70b5d69dd9/download/assisted-immigrants-1848-1912-q.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:08:26.612341,2016-03-16T04:08:26.612341,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - R,,,"This open data file lists the names of assisted passengers, with surnames beginning R, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/46df45c1-f98c-41ab-b5b6-42a0699bfee7/download/assisted-immigration-1848-1912-r.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:09:29.081634,2016-03-16T04:09:29.081634,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - S,,,"This open data file lists the names of assisted passengers, with surnames beginning S, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/5a65c00f-d00f-4d6d-81b7-da41c477f6ac/download/assisted-immigration-1848-1912-s.csv
Housing and Public Works,info@archives.qld.gov.au,2014-05-01T03:53:57.559230,2014-05-01T03:53:57.559230,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - T,,,"This open data file lists the names of assisted passengers, with surnames beginning T, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details. ",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/fe6f1bf9-6d70-4859-a90f-cae1e2eea378/download/assisted-immigration-1848-1912-t.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:13:00.732910,2016-03-16T04:13:00.732910,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - U to V,,,"This open data file lists the names of assisted passengers, with surnames beginning U and V, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/4515ee7b-b8e3-4db1-b11b-551f408df1a7/download/assisted-immigration-1848-1912-uv.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:14:14.795834,2016-03-16T04:14:14.795834,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - W,,,"This open data file lists the names of assisted passengers, with surnames beginning W, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/097baf24-0f30-422f-a982-ff6fd8a86429/download/assisted-immigration-1848-1912-w.csv
Housing and Public Works,info@archives.qld.gov.au,2016-03-16T04:15:37.272550,2016-03-16T04:15:37.272550,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - X to Z,,,"This open data file lists the names of assisted passengers, with surnames beginning X, Y and Z, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/86d64b25-bb77-4998-8edc-0741e4ddd765/download/assisted-immigration-1848-1912-xyz.csv
Housing and Public Works,info@archives.qld.gov.au,2014-06-25T04:32:44.227693,2014-06-25T04:32:44.227693,Australian South Sea Islanders 1867 to 1908,Australian South Sea Islanders 1867 to 1908 - A-K,,,This open data file lists the names (A-K) of Australian South Sea Islanders as kept in the government records detailing the administration of the South Sea Islander immigration and employment program in Queensland from 1867 to 1908. Information also includes the reference and Queensland State Archives' catalogue details.,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/eae0afa9-681c-4bda-b335-fa0c53ddec96,https://data.qld.gov.au/dataset/eae0afa9-681c-4bda-b335-fa0c53ddec96/resource/d1611bbd-ea9a-4212-93d9-ff79c5ca3879/download/australian-south-sea-islanders-1867-1908-a-k.csv
Housing and Public Works,info@archives.qld.gov.au,2017-01-11T01:32:27.747955,2017-01-11T01:32:27.747955,Australian South Sea Islanders 1867 to 1908,Australian South Sea Islanders 1867 to 1908 L-Z,,,This open data file lists the names (L-Z) of Australian South Sea Islanders as kept in the government records detailing the administration of the South Sea Islander immigration and employment program in Queensland from 1867 to 1908. Information also includes the reference and Queensland State Archives' catalogue details.,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/eae0afa9-681c-4bda-b335-fa0c53ddec96,https://data.qld.gov.au/dataset/eae0afa9-681c-4bda-b335-fa0c53ddec96/resource/268d75b1-7e7b-41a3-900e-1e508b8880c1/download/australian-south-sea-islanders-1867-1908-l-z.csv
Housing and Public Works,info@archives.qld.gov.au,2017-07-31T16:27:50.490387,2017-07-31T16:27:50.490387,Australian South Sea Islanders 1867 to 1908,South Sea Islanders 1867 to 1908 combined,,,This open data file lists the combined names of Australian South Sea Islanders as kept in the government records detailing the administration of the South Sea Islander immigration and employment program in Queensland from 1867 to 1908. Information also includes the reference and Queensland State Archives' catalogue details.,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/eae0afa9-681c-4bda-b335-fa0c53ddec96,https://data.qld.gov.au/dataset/eae0afa9-681c-4bda-b335-fa0c53ddec96/resource/84afe2e2-0d1a-48f0-8d3c-2d66e8b63f14/download/south-sea-islanders-1867-1908.csv
Housing and Public Works,info@archives.qld.gov.au,2014-06-24T01:00:51.965808,2014-06-24T01:00:51.965808,Boer War 1899 to 1902,Military Service Records 1899 to 1901,,,This open data file lists the names of servicemen taken from the Queensland Defence Force records of service in South Africa between 1899 and 1901. Information also includes the reference and Queensland State Archives' catalogue details.,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/6ccfc1d7-c9cf-4df9-a1bd-8e7d2f9f9f50,https://data.qld.gov.au/dataset/6ccfc1d7-c9cf-4df9-a1bd-8e7d2f9f9f50/resource/0f06967a-3734-4370-85ea-b92621fab18e/download/boer-war-records-1899-1901---military-service.csv
Housing and Public Works,info@archives.qld.gov.au,2014-06-24T01:02:17.752619,2014-06-24T01:02:17.752619,Boer War 1899 to 1902,Pay Books 1899 to 1902,,,"This open data file lists the names of servicemen as taken from the Chief Secretary’s Department records for the distribution of pay for the South African Contingents of the Queensland Volunteer Defence Force between 1899 and 1902. Information also includes the rank, company, contingent and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/6ccfc1d7-c9cf-4df9-a1bd-8e7d2f9f9f50,https://data.qld.gov.au/dataset/6ccfc1d7-c9cf-4df9-a1bd-8e7d2f9f9f50/resource/4e6b68c7-53b4-46a4-8d54-f7fb683a2187/download/boer-war---pay-books.csv
Housing and Public Works,info@archives.qld.gov.au,2014-09-29T03:59:04.891255,2014-09-29T03:59:04.891255,Brisbane Hospital admissions 1872 to 1887,Brisbane Hospital admissions 1872 to 1887,,,"The open data file lists the names of patients admitted to the Brisbane Hospital for the period 1872 to 1887. Information also includes the date of admission, page number and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9ce049c6-e8b7-46f9-b859-7cfd427ac7fd,https://data.qld.gov.au/dataset/9ce049c6-e8b7-46f9-b859-7cfd427ac7fd/resource/93a375da-8ab0-4a01-b97d-a58e120021b2/download/brisbane-hospital-admissions-1872-1887.csv
Housing and Public Works,info@archives.qld.gov.au,2014-09-29T04:08:21.987097,2014-09-29T04:08:21.987097,Brisbane Hospital registers of deaths 1899 to 1913,Brisbane Hospital registers of deaths 1899 to 1913,,,"This open data file lists the names of patients who died at the Brisbane Hospital during the period 1899 to 1913. Information also includes the age, number, date of death and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/34ff0384-e09a-4ba0-8ea4-f54534e1aace,https://data.qld.gov.au/dataset/34ff0384-e09a-4ba0-8ea4-f54534e1aace/resource/265df65a-372e-4f90-a6b8-5a47c30fc740/download/brisbane-hospital-deaths-1899-1913.csv
Housing and Public Works,info@archives.qld.gov.au,2014-09-29T04:19:50.102167,2014-09-29T04:19:50.102167,Brisbane Hospital registers of deaths 1933 to 1963,Brisbane Hospital registers of deaths 1933 to 1963,,,"This open data file lists the names of patients who died at the Brisbane Hospital during the period 1933 to 1963. Information also includes the age, ordinal number of death, date of death and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/4f55671b-af6d-48e6-9510-4c73524dd3a7,https://data.qld.gov.au/dataset/4f55671b-af6d-48e6-9510-4c73524dd3a7/resource/aa0c1fd9-297a-44e1-b032-adc563d3b646/download/brisbane-hospital-registers-deaths-1933-1963.csv
Housing and Public Works,info@archives.qld.gov.au,2013-06-25T20:11:46.853462,2013-06-25T20:11:46.853462,Card index to nominated immigrants 1908 to 1922,Nominated immigrants 1908 to 1922,,,"This open data file lists the names of immigrants nominated or sponsored to immigrate to Queensland between 1908 and 1922. Information includes the age, year, ship, source card name and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/74de1b90-7a77-48ec-b8ef-05cd0eff1e23,https://data.qld.gov.au/dataset/74de1b90-7a77-48ec-b8ef-05cd0eff1e23/resource/117c0985-e3e8-45f0-8c04-9cf52d9f9691/download/nominated-immigrants-1908-1922.csv
