source,organisation,author,created,last_modified,package_title,file_title,date_from,date_to,description,format,licence,info,url,status
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2018-03-29T04:59:14.475345,2018-03-29T04:59:14.475345,State Library of Queensland - Licensed Victuallers Index,Licensed Victuallers Index,,,This index was prepared by volunteers transcribing the original Queensland Government Gazette records into a database. See the Explanatory Information document for more information.,csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/96c624e5-c6fd-4e26-8c07-90a236185437,https://data.gov.au/dataset/slq-licensed-victuallers-index/resource/a1741b18-3771-4d84-9880-3b7e2c4ab35b,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2015-07-02T22:45:10.687859,2015-07-02T22:45:10.687859,State Library of Queensland - Photographs 1914-1918,SLQ - Photographs 1914-1918,,,"Out of copyright photographs and metadata from our collection, waiting to be mashed-up, hacked, and connected with other data. Images are available in three sizes. Descriptive metadata in Dublin Core",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/6b3dc1c0-4ca3-48f4-8524-3731285cc412,https://data.gov.au/dataset/slq-photographs-1914-1918,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2013-05-29T00:52:33.021144,2013-05-29T00:52:33.021144,State Library of Queensland - Picture Queensland,State Library of Queensland - Picture Queensland,,,"40 000 out of copyright photographs from the photograph collection of the State Library of Queensland. People and places from across Queensland across time. The dataset includes descriptions of the photographs, geotags and a persistant link to the digital photo",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/4295bf38-708a-4832-9665-443b6c08e4e1,https://data.gov.au/dataset/picture-queensland,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2014-09-26T00:20:47.182092,2014-09-26T00:20:47.182092,State Library of Queensland - Portraits of soldiers from the South African War (1899-1902),State Library of Queensland - Portraits of soldiers from the South African War (1899-1902),,,"From State Library of Queensland - information and url to photographs of Queensland troops appearing in the weekly newspaper The Queenslander during the South African (Boer) War 1899-1902.  Data searchable via One Search,  the library catalogue: http://onesearch.slq.qld.gov.au/primo_library/libweb/action/search.do?vid=FamHis&fromLogin=true",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/91efa00c-b982-4df9-8735-f9a2d3bfdd34,https://data.gov.au/dataset/portraits-of-soldiers-from-the-south-african-war-1899-1902,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2014-09-26T00:20:47.182092,2014-09-26T00:20:47.182092,State Library of Queensland - Portraits of soldiers from the South African War (1899-1902),State Library of Queensland - Portraits of soldiers from the South African War (1899-1902),,,"From State Library of Queensland - information and url to photographs of Queensland troops appearing in the weekly newspaper The Queenslander during the South African (Boer) War 1899-1902.  Data searchable via One Search,  the library catalogue: http://onesearch.slq.qld.gov.au/primo_library/libweb/action/search.do?vid=FamHis&fromLogin=true",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/91efa00c-b982-4df9-8735-f9a2d3bfdd34,https://data.gov.au/dataset/portraits-of-soldiers-from-the-south-african-war-1899-1902,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2018-02-28T04:52:27.807067,2018-02-28T04:52:27.807067,State Library of Queensland - Real estate maps,Explanatory Information February 2018,,,This document provides information about the contents of the Real Estate Maps February 2018 dataset.,docx,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/959d611f-a9cf-4e80-affa-1ebd978cafea,https://data.gov.au/dataset/real-estate-maps/resource/72ab4830-74be-466c-bf32-0608b1fe6160,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2018-02-28T04:50:33.127516,2018-02-28T04:50:33.127516,State Library of Queensland - Real estate maps,Real Estate Maps February 2018,,,"This updated dataset includes links to 798 digitised historical real estate maps, with geographic coordinates.",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/959d611f-a9cf-4e80-affa-1ebd978cafea,https://data.gov.au/dataset/real-estate-maps/resource/e9467f9d-ee16-46b1-9649-e49697bab15e,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2013-05-29T01:05:49.101514,2013-05-29T01:05:49.101514,State Library of Queensland - Real estate maps,State Library of Queensland - Digitised real estate maps ,,,A list of 165 digitised real estate maps from the collection of the State Library of Queensland.,csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/959d611f-a9cf-4e80-affa-1ebd978cafea,https://data.gov.au/dataset/real-estate-maps,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2015-07-02T22:49:55.601119,2015-07-02T22:49:55.601119,State Library of Queensland - The Queenslander newspaper photographs 1914-1918,SLQ - The Queenslander newspaper photographs 1914-1918,,,"Rich images and metadata showing of all aspects of Queensland life on the home front and the war front 1914-1918, taken from the pictorial supplement of The Queenslander newspaper. Each record includes the complete text of all captions and links to each page of photographs.",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/9b34c6a9-d105-4495-9590-a035ffc59f0e,https://data.gov.au/dataset/slq-the-queenslander-newspaper-photographs-1914-1918,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2015-07-02T23:00:06.707675,2015-07-02T23:00:06.707675,State Library of Queensland - World War 1 soldier portraits,SLQ - World War 1 soldier portraits,,,"Nearly 30,000 Queensland soldiers had their portrait taken and published in The Queenslander newspaper before embarkation to World War 1. State Library of Queensland has digitised all of these portraits. Anyone can search, view, add a comment, and download a high resolution digital file of any of the portraits in One Search, our catalogue. To search for an individual soldier, visit our catalogue: http://bit.ly/1fCPFWZ.
We are also working with the National Archives of Australia to match and connect the soldier portraits with their war service record on the Discovering Anzacs website http://discoveringanzacs.naa.gov.au/. Not all soldiers can be matched, but where this is possible a link to their service record is also available.

You can learn more about the soldier portraits, the digitisation project, and the invaluable contribution of our volunteers here: http://qanzac100.slq.qld.gov.au/showcase/soldier-portraits. To become a digital volunteer with SLQ, visit Pitch In! http://www.slq.qld.gov.au/about-us/pitch-in. 

This dataset currently contains 28,000 records, and will be updated regularly as more portraits are available. Follow this dataset to receive alerts on updates.",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/4a99c4e7-393b-40cb-afb7-1754cd23a551,https://data.gov.au/dataset/slq-world-war-1-soldier-portraits,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2017-06-27T11:59:58.825973,2017-06-27T11:59:58.825973,Bond Studios Glass Negative Collection,Bond Studios Glass Negative Collection,1867-01-01,1930-01-01,"Instructions are provided in the primary URL

An example of a basic implementation can be viewed at http://data.history.sa.gov.au/gallery.php?collection=bondstudio&startindex=0

The example code can be downloaded from http://data.history.sa.gov.au/gallery.php.txt",api,Other (Open),https://data.sa.gov.au/data/dataset/94fb167a-65a2-491b-ab3e-c40f96351882,http://data.history.sa.gov.au/bondstudio,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2015-05-15T11:33:00.199640,2015-05-15T11:33:00.199640,Community History Live Stream,Community History Live Stream,2011-04-01,2015-05-31,"**Community History Endpoints**

**Organisations**

http://data.history.sa.gov.au/communityhistory/organisations

**News**

http://data.history.sa.gov.au/communityhistory/news

**Events**

http://data.history.sa.gov.au/communityhistory/events

**Blogs**

http://data.history.sa.gov.au/communityhistory/blogs

**Article Detail**

The nid field on each of the items (listed using any of the above endpoints) can be used to get specific detail using the following endpoint:

http://data.history.sa.gov.au/communityhistory/{nid} 

Replace {nid} with the nid obtained from one of the above endpoints.

**Files**

The nid field on each of the events (listed using any of the above endpoints) can be used to get associated files (including base64 values) using the following endpoint:

http://data.history.sa.gov.au/communityhistory/{nid}/files 

Replace {nid} with the nid obtained from one of the above endpoints.

**Taxonomy**

http://data.history.sa.gov.au/communityhistory/taxonomy/{id}

Replace {id} with the taxonomy term id (represented by target_id throughout content)",api,Creative Commons Attribution,https://data.sa.gov.au/data/dataset/2ce2ab30-d17f-4902-b344-314e4b34538a,http://data.history.sa.gov.au/communityhistory/,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2015-05-14T17:18:33.373635,2015-05-14T17:18:33.373635,History Festival Archive,History Festival Events,2013-05-01,2015-05-31,"**History Festival Endpoints**

**Events**

http://data.history.sa.gov.au/abouttime/events/{year}

Replace {year} with 2013, 2014 or 2015

**Event Detail**

The nid field on each of the events (listed using the 'Events' endpoint) can be used to get event specific detail using the following endpoint:

http://data.history.sa.gov.au/abouttime/event/{year}/{nid} 

Replace {year} with 2013, 2014, 2015 or 2016
Replace {nid} with the nid obtained from one of the events listing.

**Event Images**

The nid field on each of the events (listed using the 'Events' endpoint) can be used to get event images (including base64 values) using the following endpoint:

http://data.history.sa.gov.au/abouttime/event/{year}/{nid}/files 

Replace {year} with 2013, 2014, 2015 or 2016
Replace {nid} with the nid obtained from one of the events listing.",api,Creative Commons Attribution,https://data.sa.gov.au/data/dataset/8606923a-8c21-4a2a-b31b-925f6fee4616,http://data.history.sa.gov.au/abouttime/,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2015-05-29T16:29:30.924997,2015-05-29T16:29:30.924997,"Interned: Torrens Island, 1914-1915",Internee Data,1939-01-01,1946-01-01,Information surrounding internees sourced from http://www.wakefieldpress.com.au/product.php?productid=1201 and National Australian Archives,js,Creative Commons Attribution,https://data.sa.gov.au/data/dataset/eb04171a-1a75-4549-820d-fd20a1d434be,http://interned.historysa.com.au/js/data.js,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2016-06-28T10:54:22.341773,2016-06-28T10:54:22.341773,Passengers in History,Passengers in History Search Index,1836-01-01,1961-01-01,"#Passengers in History API Documentation#
The Passengers in History data endpoint has been provided using an Apache Solr index (see http://lucene.apache.org/solr/) that uses a Drupal Solr 4.x schema (see https://www.drupal.org/project/search_api_solr). See [https://wiki.apache.org/solr/QueryParametersIndex](https://wiki.apache.org/solr/QueryParametersIndex) for more detail surrounding the query syntax.
<br />
An example of a basic implementation can be viewed at http://data.history.sa.gov.au/gallery_pih.php?type=vessel&startindex=0
<br />
Replace the type parameter with any of the types listed below to return associated images eg. http://data.history.sa.gov.au/gallery_pih.php?type=passenger&startindex=0
<br />
The example code can be downloaded from http://data.history.sa.gov.au/gallery_pih.php.txt
<br />
The open_data index contains 7 different types of content:
<br />
* voyage
* passenger
* vessel
* master
* port
* source
* organisation
<br/>
Additionally, the photo index (photo_index) can be used to retrieve photos (specify the index using the index_id query parameter).
<br/>
A voyage is centric to most other content types contains references to passengers, vessels and ports. A join query should be used to get information about related content (see https://wiki.apache.org/solr/Join for information surrounding the query syntax for joins). 
The is_nid field is the unique identifier.
<br/>
The number of rows per query is limited to 999 so the start and rows query parameters would need to be used to iterate over the entire result set.
<br/>
There are many response formats available (see https://cwiki.apache.org/confluence/display/solr/Response+Writers). Just add the parameter 'wt' to the query and select the response format eg. json or csv. The default is xml.
##Examples##
A typical workflow might be:
<br/>
Get the voyage/s that arrived in 1836:
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:open_data AND is_field_voyage_year:1836](http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:open_data AND is_field_voyage_year:1836)
<br/><br/>
Use a join to get the passengers for one of the voyages (use the voyage is_nid field)
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?start=0&rows=50&q={!join from=im_field_passengers to=is_nid}index_id:open_data AND is_nid:944632](http://data.history.sa.gov.au:8983/solr/passengers/select?start=0&rows=50&q={!join from=im_field_passengers%20to=is_nid}index_id:open_data AND is_nid:944632)
<br/><br/>
Use a join to find the origin and destination of a particular voyage:
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_origin to=is_nid}index_id:open_data AND is_nid:944632](http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_origin to=is_nid}index_id:open_data AND is_nid:944632)
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_destination to=is_nid}index_id:open_data AND is_nid:944632](http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_destination to=is_nid}index_id:open_data AND is_nid:944632)
<br/><br/>
Use a join to find the vessel for the voyage:
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_vessel to=is_nid}index_id:open_data AND is_nid:944632](http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_vessel to=is_nid}index_id:open_data AND is_nid:944632)
<br/><br/>
Use a join to find photos of the vessel (using the vessel is_nid):
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:photo_index AND im_file_usage_list:920026](http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:photo_index AND im_file_usage_list:920026)
<br/><br/>
Use a join to find out where a vessel was built (using the vessel is_nid):
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_built_where to=is_nid}index_id:open_data AND is_nid:923958](http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_built_where to=is_nid}index_id:open_data AND is_nid:923958)
<br/><br/>
Use a join to find the built by organisation for a particular vessel:
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_field_built_by to=is_nid}index_id:open_data AND is_nid:923958](http://data.history.sa.gov.au:8983/solr/passengers/select?q={!join%20from=is_field_built_by%20to=is_nid}index_id:open_data%20AND%20is_nid:923958)
<br/><br/>
Get organisation details (using the organisation is_nid):
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:open_data AND ss_type:organisation AND is_nid:916199](http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:open_data%20AND%20ss_type:organisation%20AND%20is_nid:916199)
<br/><br/>
Or find all vessels built by the organisation (using the organisation is_nid):
<br/>
[http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:open_data AND is_field_built_by:916199](http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:open_data%20AND%20is_field_built_by:916199)
<br/><br/>
##Other Useful Queries
Find all photos that are attached to a passenger:
<br/>
data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=is_nid to=im_file_usage_list}ss_type:(passenger OR image)
<br/><br/>
Or find all passengers that have a photo attached (the reverse):
<br/>
data.history.sa.gov.au:8983/solr/passengers/select?q={!join from=im_file_usage_list to=is_nid}ss_type:(passenger OR image)
<br/><br/>
All fields are searchable (see listing below). There are many search options using the Apache Solr query syntax. For instance to find all vessels that have the word ‘Adelaide’ in their tm_title field but not the word ‘port’:
<br/>
data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:open_data AND ss_type:vessel AND tm_title:(adelaide -port)
<br/>
In this case ss_type is specifically set to be ‘vessel’. The – represents negation of the term. There are many more options – refer to a good blog here [http://yonik.com/solr/query-syntax/](http://yonik.com/solr/query-syntax/)
<br/><br/>
Facet search on the voyage destination for a date range between 1834 and 1836:
<br/>
http://data.history.sa.gov.au:8983/solr/passengers/select?rows=0&q={!join%20from=is_nid%20to=is_field_destination}index_id:open_data&fq=ds_field_depart_date:[1834-01-01T00:00:00Z%20TO%201836-12-31T12:59:59Z]&facet=on&facet.field=is_field_destination
<br/>
In this case use a port search by node to get the titles of the ports eg.(using the first facet):
<br/>
http://data.history.sa.gov.au:8983/solr/passengers/select?q=index_id:open_data%20AND%20is_nid:887339
<br/>
The answer is most likely to be Sydney!
<br/><br/>
##Content Type Fields##
###Passenger 
<br/>
* is_nid
* ss_type
* tm_field_occupation
* tm_field_surname
* tm_field_firstname
* is_field_age
* is_arrival_year
<br/>
###Voyage
<br/>
* is_nid
* ss_type
* ds_field_depart_date
* is_field_destination
* tm_field_master
* is_field_origin
* is_field_vessel
* is_field_voyage_year
* tm_title
<br/>
###Vessel
<br/>
* is_nid
* ss_type
* tm_title
* tm_field_services
* im_field_sources
* is_field_year_end
* is_field_year_start
* is_field_built_by
* is_field_built_where
* is_field_built_year
* tm_field_demise
* tm_field_rig
* tm_field_dimensions
* tm_field_tonnage
<br/>
###Source
<br/>
* is_nid
* ss_type
* tm_title
* tm_field_location
* tm_field_reference
<br/>
###Port
<br/>
* is_nid
* ss_type
* tm_title
<br/>
###Organisation
<br/>
* is_nid
* ss_type
* tm_title
<br/>
###Photos
<br/>
* is_fid: Unique ID for a file
* tm_field_citation: Includes copyright information
* tm_field_file_image_title_text: Image title
* tm_field_location: Location of the image
* tm_field_source: Source of the image
* is_file_usage_count: Number of times this file is used in passengersinhistory.sa.gov.au
* im_file_usage_list: List of content that uses this file
* ss_url: Url to the file
",api,Creative Commons Attribution,https://data.sa.gov.au/data/dataset/ffa75eb8-475a-460b-91d1-714f269016d5,http://data.history.sa.gov.au:8983/solr/passengers/select,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2015-07-02T16:09:11.644509,2015-07-02T16:09:11.644509,SA History Hub,Historical Events,1836-01-01,Current,"#SA History Hub GEOJSON Endpoint 


http://data.history.sa.gov.au/sahistoryhub/{type} 


Replace {type} with any of the following types to obtain the current geojson for places, things or organisations stored on the SA History Hub website (http://sahistoryhub.com.au):


* place
* thing
* organisation
* event",geojson,Creative Commons Attribution,https://data.sa.gov.au/data/dataset/53b4d7c2-a1b0-4b59-b7e0-28ee57db546e,http://data.history.sa.gov.au/sahistoryhub/event,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2015-07-02T16:08:28.752458,2015-07-02T16:08:28.752458,SA History Hub,Historical Organisations,1836-01-01,Current,"#SA History Hub GEOJSON Endpoint 


http://data.history.sa.gov.au/sahistoryhub/{type} 


Replace {type} with any of the following types to obtain the current geojson for places, things or organisations stored on the SA History Hub website (http://sahistoryhub.com.au):


* place
* thing
* organisation
* event",geojson,Creative Commons Attribution,https://data.sa.gov.au/data/dataset/53b4d7c2-a1b0-4b59-b7e0-28ee57db546e,http://data.history.sa.gov.au/sahistoryhub/organisation,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2015-07-02T16:03:37.435850,2015-07-02T16:03:37.435850,SA History Hub,Historical Places,1836-01-01,Current,"#SA History Hub GEOJSON Endpoint 


http://data.history.sa.gov.au/sahistoryhub/{type} 


Replace {type} with any of the following types to obtain the current geojson for places, things or organisations stored on the SA History Hub website (http://sahistoryhub.com.au):


* place
* thing
* organisation
* event",geojson,Creative Commons Attribution,https://data.sa.gov.au/data/dataset/53b4d7c2-a1b0-4b59-b7e0-28ee57db546e,http://data.history.sa.gov.au/sahistoryhub/place,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2015-07-02T16:06:51.936296,2015-07-02T16:06:51.936296,SA History Hub,Historical Things,1836-01-01,Current,"#SA History Hub GEOJSON Endpoint 


http://data.history.sa.gov.au/sahistoryhub/{type} 


Replace {type} with any of the following types to obtain the current geojson for places, things or organisations stored on the SA History Hub website (http://sahistoryhub.com.au):


* place
* thing
* organisation
* event",geojson,Creative Commons Attribution,https://data.sa.gov.au/data/dataset/53b4d7c2-a1b0-4b59-b7e0-28ee57db546e,http://data.history.sa.gov.au/sahistoryhub/thing,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2017-07-28T17:36:38.052331,2017-07-28T17:36:38.052331,South Australian Government Photographic Collection,SA Government Photographic Collection,,,Developer Portal.,api,Other (Open),https://data.sa.gov.au/data/dataset/c5a3374b-bc28-41a5-9f7b-14d9b92e7350,https://developers.sa.gov.au/docs/services/597822927515ee1398090666/operations/597a82807515ee0f204443b5,404
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2017-06-23T16:55:54.382324,2017-06-23T16:55:54.382324,South Australian Government Photographic Collection,South Australian Government Photographic Collection API,,,"Refer to main page for information surrounding the end points. Meta data and images can be accessed through the API.

An example of a basic implementation can be viewed at http://data.history.sa.gov.au/gallery.php?collection=sagpc&startindex=0

The example code can be downloaded from http://data.history.sa.gov.au/gallery.php.txt",api,Other (Open),https://data.sa.gov.au/data/dataset/c5a3374b-bc28-41a5-9f7b-14d9b92e7350,http://data.history.sa.gov.au/sagpc,200
data.sa.gov.au,History Trust of South Australia,History Trust of South Australia,2017-06-27T12:06:29.400254,2017-06-27T12:06:29.400254,State History Collection (features),State History Collection,1836-01-01,1970-01-01,"Instructions are provided in the primary URL

An example of a basic implementation can be viewed at http://data.history.sa.gov.au/gallery.php?collection=collection&startindex=0

The example code can be downloaded from http://data.history.sa.gov.au/gallery.php.txt",api,Creative Commons Attribution-NonCommercial,https://data.sa.gov.au/data/dataset/a6457e37-6d36-4277-9318-dfe63ff28358,http://data.history.sa.gov.au/collection,200
data.qld.gov.au,Housing and Public Works,info@archives.qld.gov.au,2015-07-08T05:51:31.632805,2015-07-08T05:51:31.632805,Aboriginal War Census 1915 to 1916,Aboriginal War Census 1915 to 1916,,,"This open data file records Aboriginal peoples living at various settlements for war census purposes between the years 1915 to 1916. Information also includes the district or settlement, the closest town and Queensland State Archives' catalogue details. ",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/74824ca8-2ba5-40d2-a7a0-f4d2f69e3dff,https://data.qld.gov.au/dataset/74824ca8-2ba5-40d2-a7a0-f4d2f69e3dff/resource/306fcd00-26ea-44fa-914f-1476732f6b98/download/aboriginal-war-census-returns-1915-1916.csv,200
